Localidade,Name,Location,Runes,Loot,Stance,Pref. dmg. type,Resistencia
Altus Plateau,Sanguine Noble,Writheblood Ruins,"8,800",Bloodrose; Bloody Helice,65,🩸 Sangramento., 🩸 Sangramento.
Altus Plateau,2x Crystalian (Spear and Ringblade),Altus Tunnel,"9,000",Smithing-Stone Miner's Bell Bearing (2),70,🏏 Acerto (Strike) (altamente vulnerável)., ⚔️ Corte (Slash) e 🤺 Perfuração (Pierce). Fraco a Acerto (Strike).
Altus Plateau,Ancient Hero of Zamor,Sainted Hero's Grave,"24,000",Ancient Dragon Knight Kristoff,80,"🔥 Fogo, ⚡ Raio.","❄️ Congelamento (moderado), 🩸 Sangramento. Imune a ❄️ Congelamento (pode ter fases/exceções)."
Altus Plateau,Black Knife Assassin (Sainted Hero's Grave),In front of Sainted Hero's Grave,"11,339",Black Knife,80,"🩸 Sangramento, ❄️ Congelamento.",Imune a Morte (Death Blight).  🩸 Sangramento.
Altus Plateau,Godskin Apostle,Windmill Heights,"14,000",Godskin Peeler; Scouring Black Flame,80,"💤 Sono, 🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo (Fase 2) e ⚔️ Corte (Slash).  🩸 Sangramento, ❄️ Congelamento."
Altus Plateau,Night's Cavalry,Between Altus Plateau and Altus Highway Junction SoGs,"10,000",Ash of War: Shared Order,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Altus Plateau,Wormface,Minor Erdtree,"10,000",Crimsonspill Crystal Tear; Speckled Hardtear,80,🔥 Fogo.,Morte.  🔥 Fogo.
Altus Plateau,"Margit, the Fell Omen",Next to Outer Wall Battleground SoG,"16,800",Viridian Amber Medallion +1,80,"🩸 Sangramento, ❄️ Congelamento (ambos moderados), Dano de Impacto (Strike)."," 🩸 Sangramento (moderado), ❄️ Congelamento (moderado)."
Altus Plateau,Fallingstar Beast,Crater South of Tree Sentinel Duo,"11,000",Somber Smithing Stone (5); 5x Smithing Stone (6); Gravity Stone Fan; Gravity Stone Chunk,100,"Dano de 🤺 Perfuração (Pierce), 🩸 Sangramento, ❄️ Congelamento."," 🔷 Magia e Gravidade.  🩸 Sangramento, ❄️ Congelamento."
Altus Plateau,Godefroy the Grafted,Golden Lineage Evergaol,"31,200",Godfrey Icon,105,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
